"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","A","Y","event","id"
2,1,0.845701195765287,6,1,0.129318221239373,1,1,0.679021838819608,6,1,0.696209402987733,6,1,0.457354831509292,6,0,0.493577106622979,4,0,0.362923019798473,6,1,0.376572330715135,6,0,0.984172648983076,1,0,0.0997828138060868,4,0,0.30704154074192,6,0,0.284215438412502,0.501013244502246,0.842797471373441,1,1
6,0,0.0437571695074439,5,1,0.196889514336362,2,1,0.0970555525273085,6,0,0.716897794511169,2,1,0.895612603751943,1,1,0.115528051974252,3,1,0.973897200776264,3,0,0.139661330962554,5,1,0.762724732747301,4,0,0.918184146750718,2,1,0.220172598259524,2,0,0.897119259461761,0.67452562507242,0.860464750633886,0,2
3,0,0.728324815863743,1,0,0.395639958791435,1,0,0.125434576533735,1,1,0.068309388589114,1,1,0.954848217312247,4,1,0.361520271049812,6,0,0.0285111565608531,4,0,0.467074306681752,3,0,0.4966734230984,4,0,0.451282061403617,3,0,0.616921308916062,6,1,0.941359610529616,7.43068638257682,8.31627328957742,0,3
1,0,0.299191213212907,1,0,0.468912878539413,1,1,0.263745335862041,5,1,0.628628260456026,3,0,0.213981916895136,6,1,0.000436486443504691,3,0,0.767053875140846,3,1,0.222435753792524,1,0,0.185617710929364,4,0,0.648798490641639,1,1,0.785151573363692,1,0,0.686645785812289,0.638709519989789,2.10508376677362,1,4
2,1,0.257684190059081,2,0,0.678304572822526,1,0,0.799191418802366,1,0,0.631722023710608,1,1,0.865026021841913,1,0,0.366836911533028,6,0,0.492839330108836,5,0,0.501297208014876,1,0,0.424091652035713,2,0,0.0985399910714477,2,1,0.0852041472680867,5,0,0.918995378771797,2.28469993453473,2.93125095710222,0,5
6,1,0.980479960795492,1,1,0.211576665751636,2,0,0.9533696831204,4,1,0.408610711805522,4,0,0.0608174509834498,6,1,0.349487828789279,6,1,0.286911527859047,1,1,0.596414935775101,6,1,0.773093648254871,2,1,0.0459148897789419,2,1,0.287027242127806,1,0,0.666376570472494,0.358623452484608,0.674397566838808,1,6
4,0,0.865344444522634,6,0,0.555004208348691,4,1,0.118056984152645,1,0,0.41434601508081,4,0,0.507645558100194,1,0,0.219249465037137,3,1,0.59842488123104,1,0,0.696330836741254,6,1,0.0257248866837472,6,0,0.228620606008917,1,1,0.562247732654214,2,1,0.380916743306443,6.0311850393191,6.38953449302499,1,7
6,1,0.664117997512221,2,0,0.801390326581895,5,1,0.545994531130418,3,1,0.635445487918332,4,1,0.799043662613258,1,1,0.983569753123447,1,1,0.792424261569977,3,1,0.757650842657313,4,1,0.935611231718212,5,0,0.920271882554516,5,1,0.599292071536183,3,0,0.55595636041835,0.261198147200048,0.504453116468773,1,8
6,0,0.868872760329396,4,1,0.322363700950518,1,0,0.80107111367397,2,1,0.663758953101933,3,1,0.322200074093416,2,1,0.0221626607235521,1,0,0.183910880004987,1,1,0.0153939449228346,5,1,0.573981237364933,5,0,0.254034086596221,6,0,0.93455652333796,6,0,0.488980482099578,8.22127854917198,8.63402610072299,0,9
4,1,0.843406124273315,6,1,0.170387197984383,6,1,0.614301449153572,6,0,0.142871279502288,2,1,0.678292337572202,3,0,0.868135503493249,4,1,0.105205993400887,2,1,0.509483492933214,4,0,0.342272679321468,3,0,0.0584048323798925,4,0,0.352157665183768,6,0,0.115071301115677,0.336879049427807,0.69092288309891,1,10
